Column,Tape #,Format of original,Episode Recording Date,Episode Date,Episode Play Date,Episode title,Program Director,Program Producer,Keywords,Program Summary
2B,,VHS,1983,1983,unknown,Programa Nosotros (1983). First Episode of the Year,Dave Trautman,Red Star,first episode; primera programa; film crew; equipo de pelicula; indigenous costume; traje tradicional; indigenous dance; baile tradicional; indigenous music; musica tradicional,"In this episode, as a part of the first episode of the year, the film crew is interviewed about where they come from and why they chose to work on Programa Nosotros. Interspersed between the interviews are a series of performances. The first is a description of indigenous clothing from certain regions, the second has songs performed on guitar, the thrid is two dances by a children's group, and the fourth is a women's dance group."
2C,,VHS,unknown date,unknown,unknown date,Programa Nosotros (unknown date). Grupo Trigal,Dave Trautman,Red Star,Chilean music; musica chilena; Trigal,"In this episode, Chilean music group Trigal both perfoms traditional Chilean songs and discuss the economic situation of Chile and their reasons for continuing to perform in Edmonton. Each section where they are interviewed is followed by a musical performance."
3,84-G06-V,U-Matic,1984-02-10,1984,unknown,Programa Nosotros (1984-02-10). Pippa,John Berry,Edmonton Wanderers,Luis Gusman; actor y cantante Chileno; Payaso Pippo; Luis Gusman Chilean actor singer; Pippo the clown,In this episode Chilean actor and singer; Luis Guzman comes to Edmonton. The first part of the episode is a show for children in which Guzman acts as Pippo the clown. During the second part of the episode Guzman plays the guitar and sings songs about life in Chile during Pinochet’s dictatorship. 
4,84-G01-G,U-Matic,1985-08-02,1985,1988-04-24,Programa Nosotros (1985-08-02). Santiago del Nuevo Extremo in Concert,Sergio Contreras,Edmonton Wanderers,Chile; Santiago del Nuevo Extremo; música de folk chilena; Chilean folk music; música tradicional; traditional music; música folklorica; folk music; concert; concierto; Pedro Villagra; Luis Le-Bert; Jorge Astorga; University of Alberta,"Enrique Reyes interviews three members of Chilean group Santiago del Nuevo Extremo: Pedro Villagra, Luis Le-Bert, and Jorge Astorga. They talk about the creation of the group; its purpose - to allow them to find their own voice and identity - and their experiences of playing in Canada and around the world. The rest of the episode shows their concert at the University of Alberta (SUB Theatre). They use elements of jazz; contemporary music and traditional Chilean folkloric music in their songs. The lyrics express political ideas for the future of Chile and various aspects of Chilean folklore and culture. "
5,84-G03-M,U-Matic,1985-10-01,1985,1985-10-13,Programa Nosotros (1985-10-01). Rumbo al sur,John Berry,Sergio Contreras,Cesar Chavez; Jorge Rogers; Syndicalism; sindicalismo; union de campesinos de america; labour movement; movimiento obrero; Estados Unidos; norteamerica; México; Canada; United States; Mexico; derechos de trabajadores; worker's rights; grapes; uvas; boycott; boicoteo; Rumbo Al Sur; Musica Chileña; Chilean music; protest music; musica de protesta; social activism; activismo social; comite de defensa de derechos juveniles; youth rights; ,"Enrique Reyes interviews Cesar Chavez about his work in the labour movement in the United States and the boycott of American grapes because of labour conditions, a list of local cultural events, A performance by social activist chilean folk group Rumbo Al Sur, Raoul Echeverria interviews Jorge Rogers about his youth rights advocacy group, comite de defensa de derechos juveniles, more music from Rumbo Al Sur"
6,11-87A-119,U-Matic,1987-04-23,1987,1987-04-24,Programa Nosotros (1987-04-23). Mario Palestro y la Copa Canadá,Sergio Contreras,Lito Azocar,Mario Palestro; chile; comuna de santiago; city of santiago; copa canadá; Canada cup; soccer; fútbol; Los Jaivas; musica de chile; chilean music; edmonton sports; deportes de edmonton; Gabriel Parra; exile; exilo; Partido Socialista de Chile; Socialist Party of Chile; socialism; chilean socialism; socialismo; socialismo chileño; dictatorship; dictadura; torneo de fútbol; soccer tournament; Kinsemen fieldhouse; jubilee auditorium.,"Interview with ex MP Mario Palestro; who talks about justice, dictatorship, and the municipal politics of Santiago.  Coverage of the ""copa Canadá"", a local soccer tournament, and interviews with the coaches and captains of the finalist teams. Local news, festivals, and events, and a memorial to the recently departed drummer Gabriel Parra of chilean folk-rock group Los Jaivas with concert footage."
7,77,U-Matic,1987-09-05,1987,1987-09-01,Programa Nosotros (1987-09-05). Marcha En La Ciudad,Sergio Contreras,Lito Azocar,,
8,59,U-Matic,1987-06-05,1987,,Programa Nosotros (1987-06-05). Angel Parra in concert part 1,,,,
11,11-87-A-121,U-Matic,1987-11-01,1987,1987-12-20,Programa Nosotros (1987-11-01). ,Sergio Contreras,Lito Azocar,"Christmas; Navidad; Jaivas; Musica chileña; Chilean music; Degalio Henriquez; coordinación socialista; Adeste fideles; Venid fieles; O come let us adore him;  Mario Acuna; comite catolica latinoamericana; Committee of catholic latin america; Escuela Salvador Allende; Santa Claus; Papá Noel; Campana sobre campana; campanas de belén; Escuela Gabriela Mistral; Children's choir; choro de niños; LASAOT; marimorena; Christmas carols; villancicos; Fidel Guerra; Chile Mi Pais; ""Navidad; feliz navidad""","Christmas special: Performance from chilean folk-rock fusion group Jaivas, Christmas greetings and a reminder to think of the less fortunate in Chile and to act in solidarity with a socialist-democratic movement from Degalio Henriquez of the  coordinación socialista, a music video of ""Venid fieles"" (oh come let us adore him), christmas greetings from Mario Acuna of the comite catolica de latinoamerica, Santa Claus visits Escuela Salvador Allende, where the children sing carols, a music video of ""Campanas de Bélen"", chirstmas carols from Escuela Gabriela Mistral, Christmas greetings from Mario Pailamilla of LASAOT, music video of ""la marimorena"", christmas greetings from Fidel Guerra of Chile Mi Pais, music video for ""Navidad, feliz navidad"", Unknown music video (glitchy), message from Enrique Reyes and Antonion Guzman (also glitchy and hard to understand), unknown live musical performance (glitchy), final christmas greeting from Nosotros, Continued live performance (possibly Inti-illimani?)"
9,18,U-Matic,1987-11-15,1987,1987-11-15,Programa Nosotros (1987-11-15).,Sergio Contreras,Lito Azocar,Antonio Guzman; Paulo Garrio; Jaime Liberona; Justice; peace;revolution;awareness;stereotypes;freedom;soccer;Maradona;music;chile;Sergio Contreras;Justicia;paz;futbol;educacion;education;revolucion;libertad;Guatemala;Nicaragua;Carmen Dias;Jose Ramirez,"A televesion show dealing primarly with news about the latin community in Edmonton. At the start of the video we are intrduced to Carmen Dias from Nicaragua, and Jose Ramirez from Guatemala.In their interview these two students talk about thier motives that brought them to Edmonton. Both students wish to raise awareness about thier culture in order to get rid of certain negative stereotypes that often people associate with thier countries. In addtion, they also want to recieve some sort of economic aid from Canada in order to improve the education system and quality of life in thier countires. After the interview; we are introduced to Paulo Garrio, who is a famous Chilean singer. All of Paulo's songs that are shown in this video talk about freedom and corruption. Finally, we are presented with some highlights of some soccer games.  "
10,63,U-Matic,1987-11-01,1987,1987-11-29,Programa Nosotros (1987-11-01). Intillimani concierto,Sergio Contreras,Sergio Contreras,Inti-Illimani; nueva canción chilena; new chilean song; Jubilee Auditorium; música chilena; música andina; chilean music; andean music; Taita Salasaca; Bailando bailando; Corazón maldito; Violeta Parra; Sensemayá; La señora chíchera; El carnaval; Canción del poder popular; Canción a contraluz; Cantiga de la memoria rota; producciones barco de papel; Mi chiquita; En libertad sevillanas,"Broadcast of the 20th anniversary concert of Chilean group in exile Inti-Illimani in the Jubilee Auditorium. Eleven songs are shown in the program, accompanied by comentary from Enrique Reye and Antonio Guzmán on the history and political engagement of the group. Also; some footage of members of Inti-Illimani speaking in Spanish and English with the audience. "
13,01-88-03,U-Matic,1988-01-16,1988,1988-01-17,Programa Nosotros (1988-01-16). ,Sergio Contreras,Sergio Contreras,Pablo Garrido; Isabel Aldunata; Grant MacEwan College; Studio; estudio; singer-songwriter; cantautor; cantante; Chilean music; musica chileña; Chilean singers; cantantes chileños;  fútbol; soccer; Daniel Ortega Saavedra; Costa Rica; Nicaragua; Sandinista; Nicaraguan Revolution; revolución nicaragüense; solidarity with el Salvador; solidarite con el salvador;,"In-studio preformance from singer-songwriter Pablo Garrido, singer Isabel Aldunata performs live in the auditorium at Grant MacEwan College, soccer news, international news: a conference of central american presidents in Costa Rica concerning U.S. interference and the international politics of the Nicaraguan civil war, uspets in Buenos Aires, Israel, local news and events"
14,1-88-04,U-Matic,1988-01-04,1988,1988-01-31,Programa Nosotros (1988-01-04). ,Sergio Contreras,Sergio Contreras,Los Jaivas; Chilean folk music; música de folk chilena; Electronic instruments; intrumentos electrónicos; traditional instruments; instrumentos tradicionales,Los Jaivas; a chilean folk band plays a concert at the Edmonton Jubilee Auditorium; incorporating traditional Chilean folk instruments with electric guitars and synthesizers.
12,12-87-01,U-Matic,1987-12-08,1987,1987-12-27,Programa Nosotros (1987-12-08). ,Sergio Contreras,Sergio Contreras,Los Jaivas; Chilean folk music; música de folk chilena; Electronic instruments; intrumentos electrónicos; traditional instruments; instrumentos tradicionales,Los Jaivas; a chilean folk band plays a concert at the Edmonton Jubilee Auditorium; incorporating traditional Chilean folk instruments with electric guitars and synthesizers.
15,01-88-05,U-Matic,1988-02-14,1988,1987-02-14,Programa Nosotros (1988-02-14). ,Sergio Contreras,Lito Azocar,Inti-Illimani; inmigración; immigration; border control; el frente; fútbol; soccer; music; música; proletario; Chile,"An interview with Rene Leiva from Sociedad Hombre y Cultura, a musical performance by Inti-Illimani"
16,88-01-07,U-Matic,1988-03-19,1988,1988-03-20,Programa Nosotros (1988-03-19). ,Sergio Contreras,Lito Azocar,,
17,01-88-08,U-Matic,1988-03-26,1988,1988-03-27,Programa Nosotros (1988-03-26). ,Sergio Contreras,Lito Azocar,Casa el Salvador; El Salvador; immigration; inmigración; civil rights; derechos humanos; dictatorship; dictaduras; America; Estados Unidos; liberación; Andy Montanez; liberation; Casa Chile; Marcello Castillo; Partido Nacional de Chile; democracia; democracy; Alex Leon y los leones de salsa,"n interview with Alejandro Acevado from Casa el Salvador; a feature from a salsa festival featuring Andy Montanez, Alex Leon y los leones de salsa, and an unnamed female; a surprise interview with Chilean journalist Marcello Castillo"
18,11-87-A-144,U-Matic,1988-05-21,1988,1988-05-23,Programa Nosotros (1988-05-21). Bishop Carlos Camus,Sergio Contreras,Lito Azocar,Latinoaméricanas Catholicos; Latin-American Catholics; Catolicos immigrants; pluralism; pluralismo; Capuchino; Obispo Chileano; Illapu; Chile Mi Pais,"Pastors, priests, and immigrants from the Latin Catholic community discuss religion in Canada for immigrants and for the people in Chile. Advertisement of musical performance of Illapu on May 29 1988; other announcements."
19,83-5-3-L/82-8-13-X,U-Matic,1988-09-01,1988,unknown,Programa Nosotros (1988-09-01). ,,,,
20,74,U-Matic,1988-10-01,1988,1989-01-22,Programa Nosotros (1988-10-01). Amparo Ochoa II,Sergio Contreras,Lito Azocar,,
26,84,U-Matic,1990-01-06,1990,1990-01-07,Programa Nosotros (1990-01-06). Tupac Mexican Dance Group,Aziel Calderon, Sergio Contreras,,
21,54,U-Matic,,,1988-08-22,Pablo Milanes,Sergio Contreras,,,
22,60 88 A 224 SP,U-Matic,1989-04-22,1989,1989-05-14,"Programa Nosotros (1989-04-22). ""Los Jaivas"" in Concert",Sergio Contreras,Peter Mallaney,"""los jaivas""; grupo chileno; chilean group; instrumentos pre-colombianos y contemporaneas; pre-colombian and contemporary instruments; Jubilee Auditorium; Edmonton","""Los Jaivas"" in concert at the Jubilee Auditorium. This 5 member Chilean group combines traditional Chilean instruments as well as more modern instruments, such as: electric guitar and synthesizer. "
23,SP60-P0-1,U-Matic,1989-06-23,1989,1989-06-25,Programa Nosotros (1989-06-23). Amabana,Sergio Contreras,Lito Azocar,English: Local Group; Edmonton; Latin American; Conjunto Amabana; Concert; Musical. Spanish:  Banda local; Edmonton; Latinoamericano; Concierto; Musical,"This Nosotros TV program, hosted by Milena Sanhueza and Enrique Reye: features a live concert of Conjunto Amabana, a musical group who is considered to be one of the best local Edmonton bands. Through the use of synthesized sounds on an electronic piano, drums, and mixed vocals, this 6-member group is able to create an authentic Latin American sound. The concert showcases songs including: ""Loquito por ti"", ""El Flojo"", ""Cuando Quieras"", ""El Cachimbo"", ""Terco Corazon"", ""Hoy Sufro"", and ""La Abusadora,"" and display a very engaging and passionate performance. "
24,56,U-Matic,1989-10-07,1989,1989-10-22,Programa Nosotros (1989-10-07). ,Sergio Contreras,Ariel Calderon,Chile; dictatorship; democracy; politics; dictadura; democracia; politica,Consists of a round-table discussing Chilean Politics. 
25,85,U-Matic,1989-11-15,1989,1989-12-24,Programa Nosotros (1989-11-15). ,Sergio Contreras,Ariel Calderon,Spanish: Programa navideña; concierto; festividad English: Christmas program; concert; holiday; B-Cuadro; Nicaragua; Escuela Gabriela Mistral School; Edmonton,This episode has a general theme of Christmas and the clips are focused on a Christmas program of the school Gabriela Mistral. The episode shows a variety of art work and cultural dances performed by the students of this spanish school. The second part of the episode is a concert performed by a group from Nicaragua named B-Cuadro.
28,44,U-Matic,1990-03-10,1990,1990-04-29,Programa Nosotros (1990-03-10). Salud,Sergio Contreras,Ariel Calderon,medicina social; university; medicine; facultad de medicina; salud; culture; integración latinoamericana; Brazil; Chile; economy; folk dances; bailes Isla de Pascua; Manuel Rozental; Festival of Victor Jara; Rapa Nui,"Manuel Rozental, an exiled Colombian doctor, discusses the problems with the Colombian education system: specifically the faculty of medicine. He criticizes the achievements of professional success as distracting professionals from focusing on issues of social health; and discusses the problems of unequal access to healthcare. This segment also addresses the democratization of Latin America and the need to confront foreign debt through Latin American integration. The episode ends with the second part of the Festival of Victor Jara with dances from Rapa Nui."
27,25,U-Matic,1990-02-24,1990,1990-02-25,Programa Nosotros (1990-02-24). Presidential Election,Randy Spagg,Ariel Calderon,política; demócratas; votos; propaganda política; Hernán Büchi; Francisco Javier Errázuriz Talavera; Patricio Aylwin; Mercedes Sosa; Quilapayún; Congreso,"This episode is a special presentation surrounding the events of the 1990 elections in Chile. The three canidates are Hernán Büchi, Francisco Javier Errázuriz Talavera, and Patricio Aylwin. Each candidate’s' political advertisements are shown as well as the peoples opinion about the political situation. There are highlights from the pre elections forum (held on Sunday December 10th). The music of Mercedes Sosa, Quilapayún, and Congreso are shown to represent the voice of the people of Chile. "
30,70,U-Matic,1990-04-01,1990,1990-04-08,Programa Nosotros (1990-04-01). Chile; Camino a la democracía,Sergio Contreras,Ariel Calderon,Transition; dictatorship; democracy; transición; dictadura militar; democracía; Chilean politics; políticos chilenos; Salvador Allende; Agusto Pinochet; Latin American politics; política latinoamericana,"This episode is a special report on the political events that have been taking place in Chile since 1988. The reporters show clips from a memorial service for Salvador Allende in Valparaíso, Chile. The reporters then interview several Chilean politicians and figureheads in regards to the transition from a military dictatorship to an elected democracy. Clips of videos such as the new president's arrival and the dictator's departure from government; political ceremonies involving inaugurations of new politicians, and the people's reception of such events are shown. It then shows clips of a celebratory concert in Chile of the transition to democracy"
31,31,U-Matic,1990-04-07,1990,1990-04-15,Programa Nosotros (1990-04-07). La Integracion de Chile y Brasil,Sergio Contreras,Sergio Contreras,Education ; educacion; historia latinoamericano ; history of latin america ; intergracion ; integration ; Chile ; Brasil ; USA;  Mauricio Salegio; German Vidal;  Escuela Gabriela Mistral School; Xuxa,"The show begins with an interview of teacher Mauricio Salegio and principal German Vidal of Gabriela Mistral, a spanish school in Edmonton. They talk about the emphasis of teaching their students why their fathers are here, the history of Latin America and the spanish language. With a high Chilean percentage of students they want to help the students understand their past and their possible futures. The show then features the integration of Latin America, focusing on Brazil and Chile, offering many different interviews and persperctives on the politics and relationships between Latin America and USA. FInally the show ends with a lively concert of Xuxa."
32,35,U-Matic,1990-10-12,1990,1990-05-13,"Programa Nosotros (1990-10-12). ""Days of October"". Journey of General A. Stark",Sergio Contreras,Ariel Calderon,Mother’s day; Ramona; Doctor; medical wheel; indigenous medicine; Chile; dictatorship; El día de la madre; Ruda medicinal; medicina indígena; dictadura  ,At the beginning of the program the hosts wish all the mothers watching a great mother's day and speak to the importance of the mother in the family.  This leads into a musical interpretation of “Ramona” by  the musical group Tanta Popular Gana.  After this presentation Doctor Manual Rozental  explains the concept of individual and societal health from an indigenous perspective as he describes the Rueda Medicinal.  The second half of the program shows the documentary Días de Octubre [Days of October] which is a documentary that sheds light on the pain suffered by the families of executed political prisoners in Chile.  Those responsible for the executions buried the bodies in the desert and did not disclose the exact locations to the families.     
33,32,U-Matic,1990-05-26,1990,1990-05-27,Programa Nosotros (1990-05-26). Music & Dances from Mexico,Sergio Contreras,Ariel Calderon,Pinochet; Chile; trabajadores chileanos; derechos humanos; salario minimo; golpe militar; socialismo; baile folkloríco; chiliean workers; humans rights; minimum wage; military coup; socialism; folk dance,"The episode begins with an interview by Mario Allende with the honourable Bernardo Vargas, the general secretary of the Exiled Chilean community, a member of the socialist party in Chile as well as an advocate for worker's rights. His interview discusses the politics of Chile, especially the leadership of Pinochet who transferred power in March 1990 to a democratic leader. The new leader in Chile, left him with many thoughts on military and government relations, military coups, democracy, and workers laws and their place in the government, such as minimum wage. He also speaks of his position as an exile of Chile and the lifestyle him and his wife have adapted to. After, there is a presentation of the first ""festival folklorico de Victor Jara"" with ""Grupo Andino"" and ""Grupo Bagual"" dancing to traditional chilean and argentinian music.

"
34,Jan-91,U-Matic,1990-10-20,1990,1990-10-21,Programa Nosotros (1990-10-20). ,Sergio Contreras,Lito Azocar,Transition; dictatorship; democracy; transición; dictadura militar; democracía; Chilean politics; políticos chilenos; Salvador Allende; Agusto Pinochet; Latin American politics; política latinoamericana; derechos humanos; human rights,"This episode is a tribute to the farewell to Salvador Allende, the popular socialist leader in Chile. Many people on the street, speak of their love for Allende; he was a loving person, who did great things for Chile. A photo montage is included of his life and the difference he made in Chile. It then shows the funeral of Allende, with his family and the world watching. Many chileans were devastated by the lost to the country, and it was a very dramatic event. Representatives from other nations, and people who were close to Allende speak of Allende's life and the future generation of Chile.

"
35,34,U-Matic,1990-10-27,1990,1990-12-16,Programa Nosotros (1990-10-27). 5th Latin American Festival,Sergio Contreras,Lito Azocar,Canadian Hispanic Congress; El congreso hispano canadiense; Chilean documentary; documental chileano; military regimen; régimen militar; social conflicts; conflictos sociales; Mexican dances; bailandos mexicanos,"The episode begins with interviews with members of the Canadian Hispanic Congress. In their interviews they talk about different opportunities for Hispanic immigrants to help integrate into Canadian life without losing their heritage and while connecting with other Hispanics. Next there is a Chilean documentary called Javiera de Chile which is the story of the daughter of José Manuel Parada; a member of the communist party who was assasinated on March 30, 1985. The episode ends with Mexican dances performed by an Andino Group at Grant MacEwan University."
36,01-88-A173-SP,U-Matic,1990-11-03,1990,1990-11-04,Programa Nosotros (1990-11-03). Singer Ramon Aguilera,Sergio Contreras,Lito Azocar,povety; drugs; marijuana; dreams; latinamerica; pobreza; drogas; marijuana; sueños; Ramon Aguilera; cantantes amores; boleros; Mexico,"In this episode, Programa Nosotros shows a great documentary of a poor neighborhood that was heavily into drugs and smoking. They speak of their personal experiences with the ""buzz"" from marijuana, huffing, hash, meth and other drugs. Some speak of the lack of dreams caused by their social situation, and on the other hand some describe how they still have dreams but getting high lets them think their life out, and gives them solutions. Some have been users their entire life, or other long periods of time. Then, in a special Programa Nosotros presentation Ramon Aguilera sings powerful boleros, ""El Dia Mas Hermoso,"" ""Que Me Quemen Tus Ojos,"" ""Toma Como Yo,"" ""Ella,"" ""Eh Hijo Del Pueblo,"" and ""Valparaiso."""
37,16,U-Matic,1990-11-12,1990,1990-12-02,Programa Nosotros (1990-11-12). ,Sergio Contreras,Lito Azocar,Chile; democracy; socialism; literature; human rights; political balance; government; chilean culture; democracia; socialismo; literatura; derechos humanos; equilibro politico; cultura chileno; gobierno; Fransisco Rivas ,"This episode is a group interview with Dr. Fransisco Rivas asked questions by Monica Chavez, Mario Acuna, Mario Allende, Milton Gomez, Adolfo Soto, and Hugo Delgado. He discusses the modern mission of Chilean population, the international awareness that he hopes for, the health program in Chile, the economic situation, the condition of socialism in the economy, human rights, democracy, blood politics, political equilibrium, the spirit of the population, the population in Canada and literature."
38,,U-Matic,1990-11-17,1990,1990-11-18,Programa Nosotros (1990-11-17). Singer L. Enrique Mejia Godoy,Sergio Contreras,Lito Azocar,,
29,SP60-P09,U-Matic,1990-03-17,1990,1990-03-18,Programa Nosotros (1990-03-17). Congreso hispano-canadiense,Sergio Contreras,Ariel Calderon,Hispano-canadiense; Hispanic-Canadian Congress; Congreso hispanocanadiense; inmigracion; immigration; festival; Victor Jara; folk; dance; baile; democracia; democracy; dictadura; dictatorship; Chile; Brazil; Brasil,"This episode opens with an interview with two members of the Canadian Hispanic Congress, who discuss some of their future plans for the Hispanic community in Canada. The next segment features part of the Victor Jara Festival. Specifically, a performance of several traditional Northern Chilean folk dances. Finally, the last segment focusses on transition to democracy in Latin America and features numerous interviews with Brazilian and Chilean citizens regarding their opinions on life under authoritarian governments."
40,91-06,U-Matic,1991-01-26,1991,1991-01-27,Programa Nosotros (1991-01-26). Tupac,Sergio Contreras,Lito Azocar,Amnesty International; group; volunteer; Luis Delire; government; Peru; human rights; dance; director; festival; Tupac; Latin America; music. Amnistía Internacional; grupo; voluntario; el gobierno; Perú; los derechos humanos; baile; el director; festival; América Latina; música. ,The first part of the program was an interview with Luis Delire; who was part of the Amnesty International in Edmonton. He spoke about how the group had originated and how it is operated by volunteers. He stated that their focus is to put pressure on the governments that allow abuse to take place in their countries. The country of focus in this interview was Peru. The second part of the program focused on folklore dance; specifically from the Latin American group Tupac. The two directors of the group were interviewed and gave some background information about the dance and the dancers. The last part of the program was a variety of five different dances; all from Tupac; at the Festival Lacer. 
41,91-2-6,U-Matic,1990-10-27,1990,1991-02-10,Programa Nosotros (1990-10-27). Victor Jara Group,Sergio Contreras,Lito Azocar,,
42,90-11-02-A,U-Matic,1991-03-16,1991,1991-03-17,Programa Nosotros (1991-03-16). Calafquen Group,Sergio Contreras,Lito Azocar,,
43,11.5-91,U-Matic,1991-05-11,1991,1991-05-12,Programa Nosotros (1991-05-11). Fusion Urbana,Sergio Contreras,Lito Azocar,,
44,2.87.A.49,U-Matic,1991-09-01,1991,,Programa Nosotros (1991-09-01). Amparito Olloa,,,"Amparito Olloa; Mexico; traditional culture; new song; Malinche; infant mortality; immigration; United States; 
Amparito Olloa; México; la cultura tradicional; la nueva canción; mortalidad infantil; inmigracón; Estados Unidos","This is the 1st half of a concert by Amparito Olloa and her band. She sings songs about various parts of Mexican culture such as Malinche, infant mortality and Mexican immigants in the United States. She emphasizes the importance of keeping Mexican culture alive and shares stories about each song."
45,23,U-Matic,1991-09-02,1991,Unknown,Programa Nosotros (1991-09-02). Festival Latino Americano,Unknown,Unknown,La Palomita; Tupac; Latin America; Show Case; Various Performances; Music - La Palomita; Tupac; Latino America; Espectaculo; Varias Obras; Musica,The first few minutes begins with an un-named quartet performing. After the quartet has finished their performance;  Several groups representing Latin America perform different cultural dances of a great variety. Some of the songs have a narration explaining a bit about the culture. It also talks about family and how dance unites the countries and eliminates borders.
39,91-2,U-Matic,1990-10-27,1990,1991-01-13,Programa Nosotros (1990-10-27). Latin American film Festival,Sergio Contreras,Sergio Contreras," Don Pablo Ayala; Alba; Community Monseñor Romero; film; película; ""Americas en trancisión""; Chile; El Salvador; Guatemala; Nicaragua; Cuba; Grupo Andino; Veracruz; dance; baile; 15th Latin American Festival; Festival Lacer; Edmonton ","The first segment of the program is an interview with two Salvadorans in edmonton; Don Pablo Ayala and Alba; who are part of the Community Monseñor Romero. They talk about what their community does and their plans for the future; such as the creation of the Latin American sports federation. They also talk about their goal to unite all of their Latin American compatriots while at the same time including all Canadians as well. The second segment focuses on a documentary from 1982; ""Americas en trancisión"". This documentary has been nominated for various prestigious awards and was one of the movies showcased at the Latin American Film Festival in Edmonton. The documentary is in english and it focuses on various Latin American countries such es Chile; El Salvador; Guatemala; Nicaragua and Cuba. It shows  the social and political crises that is present in these countries. It also talks about the role that the presence of the United States of America plays in this situation. The third and final segment is a showcase of a traditional dance of the region of Veracruz. This dance is performed by the Grupo Andino, a dance troupe from Veracruz. This performance was recorded at the 15th Latin American Festival organized by Lacer in Edmonton. "
